Run	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[clinical information]	Sample Characteristic Ontology Term[clinical information]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[clinical information]	Factor Value Ontology Term[clinical information]	Analysed
SRR886585	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886586	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886587	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886588	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886589	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886590	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886591	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886592	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886593	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
SRR886594	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	non-smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	non-smoker		Yes
